scenario,method,p_value_intime,p_value_oot,p_value_grade_intime,p_value_grade_oot,oot_mean_pd,expected_loss,unexpected_loss_capital,el_plus_ul,rwa
25,Монотонный сплайн,0.6107042643175846,0.09074148887516552,0.00042639485482936124,0.0001743320469612826,0.0363061543313381,101962203.82412994,480068264.1655842,582030467.9897141,6000853302.069801
25,Французский сплайн,0.6106911192988822,0.09071566087903572,0.04648886634193137,0.003155297281647425,0.036297325461656864,101937408.82651713,478922997.2374386,580860406.0639558,5986537465.467983
26,Бета-калибровка,0.8381671650680682,0.07254445442356476,0.005250474296593809,0.004814321644493654,0.03730213437455997,104759314.17751421,470863622.0256393,575622936.2031534,5885795275.320491
26,Изотоническая регрессия,0.8381789602292893,0.07252317499777369,0.08400270148677977,0.004695393981668888,0.03729492075358765,104739055.44437557,475170495.3692561,579909550.8136317,5939631192.115702
26,Логит-калибровка,0.8381424100474621,0.07247301846905382,0.0012322834806291789,0.008613496893595501,0.03727072650244937,104671108.30947882,477344805.9791411,582015914.2886199,5966810074.739264
26,Монотонный сплайн,0.8381481863043476,0.06786560393904713,0.01940057697730481,0.00023194191673205864,0.03735201435064389,104899397.1023483,482332428.9997449,587231826.1020931,6029155362.496811
26,Французский сплайн,0.8381424962105706,0.06783966678515976,0.1793987226910014,0.00402361281312757,0.03733546572062423,104852921.9298011,481126957.5399522,585979879.4697534,6014086969.249403
27,Бета-калибровка,0.9057338507447612,0.13581094023558468,0.43028873517757293,0.047259338558789304,0.03671433407452954,103108535.81490876,470521211.5893768,573629747.4042857,5881515144.86721
27,Изотоническая регрессия,0.9460951277554077,0.15260926236583847,0.04125015326790281,0.051644577994755816,0.036608973934550995,102812642.39779302,474714855.2904917,577527497.6882846,5933935691.131146
27,Логит-калибровка,0.9057510727150209,0.14402754842444138,0.18949475852830036,0.031225653916557246,0.03666934614807825,102982191.72226295,476980149.25588596,579962340.9781489,5962251865.698574
27,Монотонный сплайн,0.9057438660686059,0.13583093199955482,0.030374515626357738,0.0002889528028297945,0.03672594087147161,103141132.34344085,481580771.7965377,584721904.1399786,6019759647.456721
27,Французский сплайн,0.9057444473085503,0.13581098697021,0.142522110524726,0.004934455416999059,0.03671437077916946,103108638.8962195,480473030.86944914,583581669.7656686,6005912885.868114
28,Бета-калибровка,0.9727976958798905,0.11886553265588588,0.07022514610609815,0.09982100829290277,0.038041287434199586,106835151.63020612,474173695.5985173,581008847.2287235,5927171194.981466
28,Изотоническая регрессия,1.0,0.12621558509863692,0.13347179206278723,0.07486736413336595,0.0380356544747516,106819332.0268924,478154279.10945976,584973611.1363522,5976928488.868247
28,Логит-калибровка,0.9728006842763274,0.1260961227680184,0.025409622986032606,0.15419369109467315,0.037987655300906475,106684531.14706576,480576968.69827604,587261499.8453418,6007212108.72845
28,Монотонный сплайн,0.9728075358578269,0.11886938378868263,0.0024611548662964557,0.00833194606682823,0.0380583629885402,106883106.6170163,485066227.1799544,591949333.7969706,6063327839.74943
28,Французский сплайн,0.9728043247720951,0.11886455205461167,0.16832275341812303,0.10393510902691407,0.03804569491621877,106847529.60270882,483989584.9247477,590837114.5274565,6049869811.559346
29,Бета-калибровка,0.945610556869817,0.07045052519735136,0.03707042458483118,0.011802517197146391,0.03673441269006195,103164924.59877,469620414.0097867,572785338.6085567,5870255175.122335
29,Изотоническая регрессия,0.959195446734102,0.07036109732310467,0.059769324500080746,0.012077309684285257,0.03669330095256431,103049466.39518158,473926647.7595248,576976114.1547064,5924083096.99406
29,Логит-калибровка,0.9591975579305015,0.07035160739813698,0.013008182262056654,0.016464822964225967,0.03667423928010717,102995933.59425299,476158543.6206961,579154477.2149491,5951981795.258701
29,Монотонный сплайн,0.9592009688712201,0.06584571690249338,0.003036750322399888,0.00020008889322544515,0.036782037809533596,103298674.98429416,480988177.67444336,584286852.6587374,6012352220.930541
29,Французский сплайн,0.959197910939832,0.0658115512701861,0.12906693570855562,0.007640463744381111,0.03675771850779845,103230376.65730116,479817262.1668007,583047638.8241019,5997715777.085009
30,Бета-калибровка,0.9457070491312197,0.015248089992842334,0.05945592551394739,0.03103995677355121,0.036268058742737745,101855216.17310469,466433062.23093605,568288278.4040407,5830413277.886701
