method,n_bins,alpha,shrinkage,fit_ct,fit_mean_pd,fit_ct_gap_abs,oot_default_rate,oot_mean_pd,oot_default_gap,oot_abs_default_gap,brier_score,log_loss,ece_quantile,cal_slope,cal_intercept,rwa_bln,rwa_delta_vs_logit_pct,rwa_abs_delta_to_minus_1pct,candidate_switch_knots,n_binomial_bins,significant_bins_5pct,max_abs_z,min_binomial_p_value,mean_abs_dr_minus_pd
Монотонный сплайн,10.0,50.0,,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.049041499567770507,-15.388200206753936,15.388200206753936,0.03411,0.13128,0.00518,0.9953,-0.0584,8.579362130355715,-0.011161356785875048,0.0011613567858750479,2.0,9.0,2.0,4.84378729959356,0.00015040640715438864,0.0049582739941971725
Французский сплайн,30.0,75.0,0.15,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.049065498523733084,-15.598815044281537,15.598815044281537,0.03404,0.13047,0.00518,0.9766,-0.097,8.579838815762939,-0.011217538802184034,0.0012175388021840334,7.0,10.0,2.0,2.8773293344477953,0.012050869149250246,0.004963020796873447
Французский сплайн,50.0,35.0,0.15,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.049070524375892995,-15.642921922836933,15.642921922836933,0.03404,0.13049,0.00523,0.9746,-0.1013,8.558832997078195,-0.00874179855495623,0.0012582014450437697,12.0,10.0,2.0,2.9660092269940788,0.010343924840093178,0.005013676510688278
Французский сплайн,40.0,35.0,0.25,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.049068352992817456,-15.623865864965978,15.623865864965978,0.03401,0.13045,0.00505,0.978,-0.0944,8.580286406759672,-0.011270291758950128,0.0012702917589501282,10.0,10.0,2.0,3.009969354364342,0.00958660061070677,0.004827965501432977
Французский сплайн,15.0,75.0,0.25,0.04807199590058929,0.04807199590058919,9.71445146547012e-17,0.047288058340929806,0.04907685710100966,-15.69849791846076,15.69849791846076,0.03407,0.13061,0.00524,0.9761,-0.098,8.558620085192445,-0.008716704816284344,0.0012832951837156558,4.0,10.0,2.0,3.1169248426334293,0.007961186934406589,0.005014763683353066
Французский сплайн,50.0,20.0,0.3,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.049077459704793436,-15.703786369267164,15.703786369267164,0.03401,0.13048,0.00513,0.9767,-0.0974,8.557119691001738,-0.008539868752887488,0.0014601312471125127,12.0,10.0,2.0,3.2096337921192153,0.006771439033891668,0.004909936730641719
Французский сплайн,10.0,100.0,0.25,0.04807199590058929,0.048071995900589186,1.0408340855860843e-16,0.047288058340929806,0.04906641493162791,-15.606857439966518,15.606857439966518,0.03408,0.13064,0.00517,0.9772,-0.0953,8.556941297622295,-0.008518843356260145,0.0014811566437398557,2.0,10.0,2.0,3.18186109301041,0.007108399594613996,0.0049497369296672205
Французский сплайн,30.0,20.0,0.9,0.04807199590058929,0.04807199590058926,2.7755575615628914e-17,0.047288058340929806,0.049095730657993414,-15.864132254550213,15.864132254550213,0.03392,0.1306,0.00517,0.9843,-0.0831,8.556679372852763,-0.008487972972039046,0.0015120270279609539,7.0,10.0,2.0,4.1554759201813,0.0012686087515432157,0.004948799036599516
Монотонный сплайн,15.0,35.0,,0.04807199590058929,0.04807199590051563,7.366329768387914e-14,0.047288058340929806,0.04908521555499516,-15.77185171063752,15.77185171063752,0.03407,0.13137,0.00487,0.9892,-0.0716,8.556485338188017,-0.008465104097653482,0.0015348959023465183,4.0,10.0,1.0,5.706472325056567,3.088408465353187e-05,0.004289698190328037
Французский сплайн,35.0,20.0,0.75,0.04807199590058929,0.04807199590058926,2.7755575615628914e-17,0.047288058340929806,0.049055729499495444,-15.513082087572002,15.513082087572002,0.03388,0.13044,0.00497,0.9857,-0.0793,8.583687838004076,-0.01167118354785538,0.0016711835478553805,9.0,10.0,2.0,3.9336951245032767,0.0018820182491256473,0.004744042391502096
Французский сплайн,40.0,20.0,0.45,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.049076919055493454,-15.699041631010573,15.699041631010573,0.03397,0.13048,0.00509,0.9782,-0.0946,8.553996472087714,-0.008171766995826764,0.0018282330041732367,10.0,10.0,2.0,3.410842762003426,0.004755250827416155,0.004870934154850624
Французский сплайн,20.0,75.0,0.25,0.04807199590058929,0.04807224429232315,2.4839173386193014e-07,0.047288058340929806,0.049069171631038924,-15.631050233997598,15.631050233997598,0.03405,0.13052,0.00502,0.9788,-0.0928,8.585422354252293,-0.011875613175170944,0.0018756131751709437,5.0,10.0,2.0,3.0373743865255802,0.009141886667675842,0.004797362715956712
Монотонный сплайн,25.0,20.0,,0.04807199590058929,0.04807199590017676,4.1253112037509254e-13,0.047288058340929806,0.049074259068173844,-15.675697582293651,15.675697582293651,0.03395,0.13097,0.0047,0.9893,-0.0719,8.552687485583784,-0.008017490191885112,0.001982509808114888,6.0,10.0,1.0,5.268935360564406,7.5800913686894e-05,0.003856972745038531
